epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.96398,1.40556,4.25386,1.32665,0.00663,0.4,0.0325,0.02196,1.12318,4.23686,1.06308,1.111e-05,1.111e-05,1.111e-05
2,8.33603,1.12295,4.1795,1.2379,0.0075,0.4,0.01646,0.01239,1.13421,4.23566,1.06428,3.3e-05,3.3e-05,3.3e-05
3,8.70174,1.02672,3.99922,1.24119,0.00808,0.4,0.0191,0.01503,1.00286,4.23905,1.00281,5.44501e-05,5.44501e-05,5.44501e-05
4,9.08515,1.06509,4.11414,1.15911,0.00888,0.425,0.02106,0.01491,0.92805,4.20708,0.94706,7.54602e-05,7.54602e-05,7.54602e-05
5,9.46054,1.11027,4.05524,1.20717,0.00738,0.425,0.05049,0.03308,0.81899,4.18659,0.923,9.60304e-05,9.60304e-05,9.60304e-05
6,9.86173,1.03331,3.88742,1.18179,0.00712,0.48333,0.07358,0.06069,0.76831,4.14089,0.88853,0.000116161,0.000116161,0.000116161
7,10.2608,0.88326,3.63249,1.08848,0.01125,0.625,0.13008,0.12396,0.82231,4.08073,0.87611,0.000135851,0.000135851,0.000135851
8,10.6696,0.86513,3.64125,1.1409,0.013,0.69167,0.14216,0.13309,0.78841,4.06237,0.8474,0.000155101,0.000155101,0.000155101
9,11.0575,0.73866,3.35339,1.12412,0.01319,0.71667,0.17798,0.16709,0.78956,4.05722,0.84268,0.000173911,0.000173911,0.000173911
10,11.4564,0.8708,3.44834,1.10346,0.01474,0.71667,0.20998,0.20603,0.77447,4.05257,0.83376,0.000192282,0.000192282,0.000192282
11,11.8262,0.88922,3.10078,1.14063,0.01352,0.84167,0.23886,0.21744,0.789,4.0273,0.84031,0.000210212,0.000210212,0.000210212
12,12.214,0.88124,2.96556,1.14919,0.01271,0.825,0.2965,0.24249,0.82041,4.00833,0.84354,0.000227703,0.000227703,0.000227703
13,12.5897,0.74344,2.87358,1.12967,0.0107,0.71667,0.30114,0.25017,0.86858,4.01187,0.86475,0.000244753,0.000244753,0.000244753
14,12.9796,0.98044,2.85409,1.1718,0.01008,0.65833,0.32985,0.26231,0.85287,4.05386,0.84607,0.000261364,0.000261364,0.000261364
15,13.348,0.91929,2.918,1.08354,0.00906,0.65833,0.36219,0.28697,0.92751,4.0002,0.87685,0.000277534,0.000277534,0.000277534
16,13.7374,0.91003,2.73812,1.17304,0.00745,0.65833,0.35711,0.27672,0.90594,4.00208,0.88594,0.000293265,0.000293265,0.000293265
17,14.1003,0.72412,2.57844,1.11757,0.007,0.63333,0.32817,0.25343,0.87831,4.00977,0.90333,0.000308556,0.000308556,0.000308556
18,14.4742,0.79871,2.68254,1.11443,0.00589,0.60833,0.2817,0.23216,0.90376,4.00525,0.92275,0.000323407,0.000323407,0.000323407
19,14.8344,0.73351,2.49417,1.02014,0.00492,0.58333,0.25863,0.22844,0.88428,3.97318,0.93142,0.000337817,0.000337817,0.000337817
20,15.2118,0.8249,2.45724,1.10495,0.00403,0.55833,0.2588,0.21367,0.87454,3.95136,0.91944,0.000351788,0.000351788,0.000351788
21,15.5712,0.76011,2.32525,1.09225,0.00385,0.55833,0.27328,0.22354,0.84225,3.92338,0.88645,0.000365319,0.000365319,0.000365319
22,15.947,0.75783,2.15377,1.02638,0.00416,0.58333,0.28471,0.24286,0.79591,3.94377,0.84777,0.00037841,0.00037841,0.00037841
23,16.3012,0.81693,2.12506,1.07644,0.00403,0.58333,0.28414,0.21104,0.82232,3.94485,0.84487,0.000391061,0.000391061,0.000391061
24,16.6812,0.67602,1.997,0.97583,0.00335,0.55833,0.27499,0.17985,0.85434,3.94692,0.84714,0.000403272,0.000403272,0.000403272
25,17.0435,0.71418,2.00725,1.06497,0.00344,0.58333,0.28078,0.18165,0.84963,3.95391,0.85856,0.000415043,0.000415043,0.000415043
26,17.4179,0.71007,2.19787,1.04094,0.00289,0.55833,0.2809,0.17925,0.8335,4.00221,0.87837,0.000426374,0.000426374,0.000426374
27,17.779,0.88207,2.34185,1.10873,0.00289,0.55833,0.27403,0.20478,0.76804,3.97976,0.88059,0.000437265,0.000437265,0.000437265
28,18.1439,0.84577,2.4203,1.14895,0.00289,0.55833,0.27403,0.20478,0.76804,3.97976,0.88059,0.000447716,0.000447716,0.000447716
29,18.5039,0.81201,2.01413,1.11109,0.00279,0.55833,0.28773,0.23318,0.83673,3.93064,0.91297,0.000457728,0.000457728,0.000457728
30,18.8763,0.70495,2.00536,1.05413,0.0028,0.55833,0.28881,0.24603,0.8105,3.86037,0.88469,0.000467299,0.000467299,0.000467299
31,19.2217,0.81869,2.00373,1.01598,0.0028,0.55833,0.28881,0.24603,0.8105,3.86037,0.88469,0.00047643,0.00047643,0.00047643
32,19.599,0.86764,2.01149,1.21872,0.76769,0.45833,0.29075,0.24694,0.74613,3.78928,0.86441,0.000485121,0.000485121,0.000485121
33,19.9591,0.84126,2.33699,1.08552,0.72213,0.41667,0.31867,0.256,0.724,3.73822,0.85277,0.000493373,0.000493373,0.000493373
34,20.3262,0.82377,2.21677,1.11831,0.72213,0.41667,0.31867,0.256,0.724,3.73822,0.85277,0.000501184,0.000501184,0.000501184
35,20.6978,0.75593,1.78309,0.992,0.68565,0.16667,0.30978,0.231,0.76122,3.6496,0.84962,0.000508556,0.000508556,0.000508556
36,21.0757,0.74944,1.90905,1.03114,0.93111,0.16667,0.31799,0.21683,0.80313,3.62277,0.87134,0.000515487,0.000515487,0.000515487
37,21.4275,0.6803,2.05261,0.99805,0.93111,0.16667,0.31799,0.21683,0.80313,3.62277,0.87134,0.000521979,0.000521979,0.000521979
38,21.8265,0.80033,1.94231,1.08758,0.90918,0.16667,0.31085,0.19496,0.86606,3.65315,0.90061,0.000528031,0.000528031,0.000528031
39,22.1888,0.85898,1.98691,1.08123,0.67658,0.42285,0.31958,0.2203,0.87266,3.64725,0.91076,0.000533642,0.000533642,0.000533642
40,22.5471,0.77855,1.7649,1.01836,0.67658,0.42285,0.31958,0.2203,0.87266,3.64725,0.91076,0.000538814,0.000538814,0.000538814
41,22.9086,0.71294,1.64025,1.01582,0.65325,0.375,0.28786,0.21156,0.90332,3.62861,0.91298,0.000543546,0.000543546,0.000543546
42,23.291,0.78443,1.8312,1.05882,0.70272,0.375,0.37585,0.26608,0.92936,3.61398,0.94235,0.000547837,0.000547837,0.000547837
43,23.6396,0.77477,1.74597,1.09986,0.70272,0.375,0.37585,0.26608,0.92936,3.61398,0.94235,0.000551689,0.000551689,0.000551689
44,24.0165,0.82863,2.14075,1.05929,0.69793,0.375,0.38723,0.2812,0.93643,3.54314,0.9566,0.000555101,0.000555101,0.000555101
45,24.3697,0.7553,1.58083,1.02788,0.69793,0.375,0.38723,0.2812,0.93643,3.54314,0.9566,0.000558073,0.000558073,0.000558073
46,24.7531,0.65725,1.6452,1.01343,0.69536,0.42763,0.40358,0.29815,0.92637,3.39134,0.92708,0.000560605,0.000560605,0.000560605
47,25.1135,0.65699,1.49934,1.01195,0.69536,0.42763,0.40358,0.29815,0.92637,3.39134,0.92708,0.000562697,0.000562697,0.000562697
48,25.5051,0.81202,1.75142,1.01112,0.67682,0.45833,0.48244,0.33573,0.97055,3.25891,0.94525,0.000564349,0.000564349,0.000564349
49,25.8665,0.68123,1.57955,1.00783,0.67682,0.45833,0.48244,0.33573,0.97055,3.25891,0.94525,0.000565561,0.000565561,0.000565561
50,26.2754,0.78575,1.61766,1.05264,0.73662,0.45833,0.56387,0.41094,0.93691,3.18176,0.96548,0.000566333,0.000566333,0.000566333
51,26.6359,0.73467,1.90199,1.00359,0.73662,0.45833,0.56387,0.41094,0.93691,3.18176,0.96548,0.000561055,0.000561055,0.000561055
52,27.0251,0.68621,1.6934,1.0065,0.76183,0.45833,0.57424,0.45742,0.82157,2.93697,0.89267,0.000550056,0.000550056,0.000550056
53,27.39,0.6156,1.37344,0.95297,0.76183,0.45833,0.57424,0.45742,0.82157,2.93697,0.89267,0.000539057,0.000539057,0.000539057
54,27.7878,0.62599,1.49742,0.96932,0.77415,0.487,0.57265,0.45017,0.75249,2.83219,0.87041,0.000528058,0.000528058,0.000528058
55,28.1365,0.67703,1.70756,0.99348,0.77415,0.487,0.57265,0.45017,0.75249,2.83219,0.87041,0.000517059,0.000517059,0.000517059
56,28.5178,0.61049,1.53344,0.95438,0.67016,0.55,0.56635,0.43953,0.79167,2.79046,0.87264,0.00050606,0.00050606,0.00050606
57,28.8703,0.76692,1.46299,1.04488,0.67016,0.55,0.56635,0.43953,0.79167,2.79046,0.87264,0.000495062,0.000495062,0.000495062
58,29.248,0.67436,1.52698,1.00134,0.45519,0.56829,0.58149,0.44121,0.84106,2.68844,0.88189,0.000484063,0.000484063,0.000484063
59,29.5987,0.64064,1.48655,1.00168,0.45519,0.56829,0.58149,0.44121,0.84106,2.68844,0.88189,0.000473064,0.000473064,0.000473064
60,29.9625,0.65941,1.47002,1.02387,0.47081,0.63193,0.59841,0.43165,0.85444,2.64727,0.90063,0.000462065,0.000462065,0.000462065
61,30.3137,0.69963,1.63185,0.98905,0.47081,0.63193,0.59841,0.43165,0.85444,2.64727,0.90063,0.000451066,0.000451066,0.000451066
62,30.698,0.63227,1.47495,0.96992,0.42449,0.71667,0.59456,0.41081,0.88044,2.58425,0.91146,0.000440067,0.000440067,0.000440067
63,31.0462,0.68054,1.44426,0.97145,0.42449,0.71667,0.59456,0.41081,0.88044,2.58425,0.91146,0.000429068,0.000429068,0.000429068
64,31.4256,0.67232,1.60768,0.94685,0.40832,0.71667,0.60264,0.42195,0.87199,2.49636,0.9189,0.000418069,0.000418069,0.000418069
65,31.7788,0.64282,1.42334,0.95964,0.40832,0.71667,0.60264,0.42195,0.87199,2.49636,0.9189,0.00040707,0.00040707,0.00040707
66,32.1696,0.67321,1.53009,1.03214,0.4649,0.75597,0.61941,0.43989,0.90195,2.42617,0.94011,0.000396071,0.000396071,0.000396071
67,32.5173,0.7044,1.57016,1.02567,0.4649,0.75597,0.61941,0.43989,0.90195,2.42617,0.94011,0.000385073,0.000385073,0.000385073
68,32.8955,0.60058,1.40539,1.00108,0.45903,0.74444,0.65757,0.45548,0.87804,2.38477,0.94245,0.000374074,0.000374074,0.000374074
69,33.2461,0.61155,1.44935,0.98564,0.45903,0.74444,0.65757,0.45548,0.87804,2.38477,0.94245,0.000363075,0.000363075,0.000363075
70,33.6285,0.5932,1.3833,0.96695,0.51826,0.78003,0.67827,0.48657,0.84367,2.32011,0.9261,0.000352076,0.000352076,0.000352076
71,33.9911,0.72446,1.52286,1.08855,0.51826,0.78003,0.67827,0.48657,0.84367,2.32011,0.9261,0.000341077,0.000341077,0.000341077
72,34.3915,0.57985,1.54548,0.95023,0.59575,0.80752,0.69844,0.51216,0.81657,2.28493,0.91641,0.000330078,0.000330078,0.000330078
73,34.7593,0.61983,1.43217,1.06584,0.59575,0.80752,0.69844,0.51216,0.81657,2.28493,0.91641,0.000319079,0.000319079,0.000319079
74,35.1518,0.55731,1.3274,0.92077,0.59645,0.82796,0.7001,0.51774,0.79186,2.21542,0.90694,0.00030808,0.00030808,0.00030808
75,35.5167,0.53421,1.3078,0.92215,0.59645,0.82796,0.7001,0.51774,0.79186,2.21542,0.90694,0.000297081,0.000297081,0.000297081
76,35.9082,0.49922,1.24657,0.89693,0.58285,0.88333,0.70059,0.52939,0.75818,2.10722,0.89792,0.000286083,0.000286083,0.000286083
77,36.2717,0.57136,1.29093,0.93439,0.58285,0.88333,0.70059,0.52939,0.75818,2.10722,0.89792,0.000275084,0.000275084,0.000275084
78,36.6699,0.52301,1.29443,0.93073,0.58761,0.90848,0.71439,0.5681,0.71661,2.07131,0.89371,0.000264085,0.000264085,0.000264085
79,37.0365,0.72154,1.49102,1.01852,0.58761,0.90848,0.71439,0.5681,0.71661,2.07131,0.89371,0.000253086,0.000253086,0.000253086
80,37.421,0.63089,1.62114,1.02744,0.60754,0.91818,0.7157,0.56166,0.68903,2.02779,0.88852,0.000242087,0.000242087,0.000242087
81,37.7799,0.58727,1.27444,0.98178,0.60754,0.91818,0.7157,0.56166,0.68903,2.02779,0.88852,0.000231088,0.000231088,0.000231088
82,38.1451,0.50744,1.24998,0.94442,0.60659,0.94156,0.71313,0.57094,0.6624,2.00488,0.88011,0.000220089,0.000220089,0.000220089
83,38.5112,0.57339,1.28879,0.94231,0.60659,0.94156,0.71313,0.57094,0.6624,2.00488,0.88011,0.00020909,0.00020909,0.00020909
84,38.9025,0.6441,1.27666,1.01426,0.60594,0.925,0.71573,0.57377,0.6457,2.0135,0.87324,0.000198091,0.000198091,0.000198091
85,39.2693,0.57513,1.28953,1.00865,0.60594,0.925,0.71573,0.57377,0.6457,2.0135,0.87324,0.000187092,0.000187092,0.000187092
86,39.6472,0.5564,1.26846,0.97738,0.61815,0.925,0.72849,0.58746,0.6515,2.0482,0.87166,0.000176094,0.000176094,0.000176094
87,40.0174,0.55743,1.23888,0.93393,0.61815,0.925,0.72849,0.58746,0.6515,2.0482,0.87166,0.000165095,0.000165095,0.000165095
88,40.4003,0.57149,1.38388,0.99346,0.6311,0.91754,0.73293,0.57776,0.65907,2.10846,0.86986,0.000154096,0.000154096,0.000154096
89,40.7533,0.55342,1.40984,0.95442,0.6311,0.91754,0.73293,0.57776,0.65907,2.10846,0.86986,0.000143097,0.000143097,0.000143097
90,41.1192,0.51898,1.34761,0.95177,0.632,0.91395,0.74715,0.59396,0.66379,2.16286,0.86808,0.000132098,0.000132098,0.000132098
91,42.184,0.54866,1.81934,0.93856,0.632,0.91395,0.74715,0.59396,0.66379,2.16286,0.86808,0.000121099,0.000121099,0.000121099
92,42.6307,0.67361,1.95258,1.08707,0.63663,0.8757,0.7763,0.6104,0.682,2.19222,0.87101,0.0001101,0.0001101,0.0001101
93,43.0023,0.53096,1.63852,0.90079,0.63663,0.8757,0.7763,0.6104,0.682,2.19222,0.87101,9.91012e-05,9.91012e-05,9.91012e-05
94,43.3853,0.56718,1.61397,0.99876,0.57807,0.925,0.7553,0.58901,0.68345,2.1456,0.87459,8.81023e-05,8.81023e-05,8.81023e-05
95,43.7395,0.5744,1.80735,0.94692,0.57807,0.925,0.7553,0.58901,0.68345,2.1456,0.87459,7.71034e-05,7.71034e-05,7.71034e-05
96,44.1053,0.63488,1.74172,1.09023,0.58111,0.925,0.74415,0.57684,0.68531,2.07855,0.87681,6.61045e-05,6.61045e-05,6.61045e-05
97,44.4748,0.63295,1.93526,1.03753,0.58111,0.925,0.74415,0.57684,0.68531,2.07855,0.87681,5.51056e-05,5.51056e-05,5.51056e-05
98,44.8516,0.51421,1.69376,0.95938,0.58764,0.925,0.73823,0.59012,0.69418,2.03128,0.87955,4.41067e-05,4.41067e-05,4.41067e-05
99,45.218,0.58045,1.63267,1.02001,0.58764,0.925,0.73823,0.59012,0.69418,2.03128,0.87955,3.31078e-05,3.31078e-05,3.31078e-05
100,45.587,0.46936,1.50991,0.85238,0.59259,0.925,0.7215,0.57802,0.69571,2.00858,0.88138,2.21089e-05,2.21089e-05,2.21089e-05
